DATE,GPRD,GPRD_ACT,GPRD_THREAT,EVENT
26-06-1985,170.89,183.47,185.82,
27-06-1985,204.30,232.77,194.15,
28-06-1985,198.24,216.76,223.34,
29-06-1985,188.69,313.52,104.60,
30-06-1985,182.41,203.67,206.28,
01-07-1985,255.47,322.60,254.92,
02-07-1985,222.37,275.20,242.29,
03-07-1985,142.72,194.70,87.44,
04-07-1985,180.03,233.32,179.64,
05-07-1985,139.39,179.83,177.27,
06-07-1985,123.52,111.94,130.72,
07-07-1985,75.86,33.61,98.12,
08-07-1985,112.29,93.29,124.50,
09-07-1985,153.03,161.53,149.70,
10-07-1985,197.09,226.71,163.88,
11-07-1985,150.91,195.58,112.94,
12-07-1985,174.69,258.00,107.60,
13-07-1985,165.08,175.54,201.33,
14-07-1985,108.73,115.62,96.44,
15-07-1985,136.80,116.90,130.01,
16-07-1985,108.47,116.46,97.14,
17-07-1985,90.34,30.02,125.20,
18-07-1985,122.97,137.92,115.04,
19-07-1985,104.27,127.94,80.03,
20-07-1985,63.22,100.84,21.03,
21-07-1985,53.29,53.12,44.31,
22-07-1985,133.74,225.63,51.33,
23-07-1985,167.20,145.85,191.16,
24-07-1985,145.21,199.05,120.75,
25-07-1985,81.19,80.94,94.52,
26-07-1985,82.40,82.15,82.22,
27-07-1985,107.63,71.53,119.33,
28-07-1985,125.00,106.82,133.64,
29-07-1985,120.96,129.87,123.80,
30-07-1985,124.10,114.20,111.13,
31-07-1985,106.54,96.56,96.65,
01-08-1985,140.76,149.68,124.85,
02-08-1985,75.10,66.55,97.14,
03-08-1985,57.11,68.32,37.99,
04-08-1985,60.37,45.13,62.74,
05-08-1985,62.50,62.31,51.97,
06-08-1985,116.64,93.02,135.79,
07-08-1985,95.39,69.16,100.95,
08-08-1985,42.04,50.29,41.95,
09-08-1985,95.79,111.41,79.65,
10-08-1985,64.53,85.78,35.77,
11-08-1985,44.87,59.64,49.74,
12-08-1985,120.63,129.50,108.02,
13-08-1985,76.64,101.87,56.65,
14-08-1985,101.09,108.53,77.59,
15-08-1985,53.31,45.55,50.66,
16-08-1985,59.29,59.10,49.30,
17-08-1985,79.58,79.34,66.17,
18-08-1985,72.80,87.10,72.65,
19-08-1985,104.41,94.62,110.50,
20-08-1985,83.44,116.46,55.51,
21-08-1985,167.72,234.09,125.52,
22-08-1985,108.10,76.98,115.57,
23-08-1985,72.01,95.72,39.92,
24-08-1985,63.70,63.51,52.97,
25-08-1985,22.08,14.68,24.48,
26-08-1985,70.29,70.08,58.45,
27-08-1985,112.29,111.94,93.37,
28-08-1985,77.76,77.52,77.59,
29-08-1985,131.63,102.06,133.77,
30-08-1985,65.11,32.46,81.21,
31-08-1985,56.15,67.17,37.35,
01-09-1985,63.40,31.60,79.08,
02-09-1985,84.32,24.02,120.20,
03-09-1985,84.94,150.54,15.70,
04-09-1985,66.42,99.32,27.61,
05-09-1985,59.82,74.55,37.31,
06-09-1985,89.34,54.81,102.87,
07-09-1985,114.89,133.62,79.61,
08-09-1985,67.19,66.99,55.87,
09-09-1985,84.94,94.08,78.48,
10-09-1985,120.02,63.81,146.37,
11-09-1985,151.95,90.89,176.89,
12-09-1985,73.61,73.39,73.45,
13-09-1985,103.30,82.39,114.53,
14-09-1985,120.26,87.19,145.45,
15-09-1985,78.70,85.59,59.49,
16-09-1985,95.33,79.19,92.48,
17-09-1985,124.86,161.09,109.94,
18-09-1985,126.49,126.10,118.33,
19-09-1985,126.59,140.23,105.27,
20-09-1985,104.39,13.88,162.03,
21-09-1985,52.08,83.08,17.32,
22-09-1985,69.89,69.67,69.73,
23-09-1985,115.36,131.44,95.93,
24-09-1985,110.66,117.68,110.43,
25-09-1985,120.84,85.04,130.04,
26-09-1985,174.71,167.21,174.34,
27-09-1985,144.02,114.87,155.69,
28-09-1985,129.71,119.36,132.75,
29-09-1985,79.18,52.63,98.77,
30-09-1985,104.06,86.45,115.37,
01-10-1985,154.24,87.87,183.23,
02-10-1985,184.03,176.13,171.39,
03-10-1985,100.99,107.39,78.38,
04-10-1985,159.82,159.32,169.14,
05-10-1985,103.20,61.73,154.46,
06-10-1985,92.57,131.83,65.98,
07-10-1985,88.44,96.19,80.23,
08-10-1985,134.72,189.61,92.26,
09-10-1985,162.45,253.49,82.22,
10-10-1985,102.24,135.90,79.35,
11-10-1985,82.13,81.88,79.68,
12-10-1985,146.14,194.26,97.22,
13-10-1985,67.19,80.38,67.05,
14-10-1985,138.44,236.59,32.89,
15-10-1985,190.47,280.70,110.18,
16-10-1985,106.61,106.28,113.98,
17-10-1985,122.39,162.68,67.84,
18-10-1985,118.31,188.71,39.35,
19-10-1985,81.01,35.90,104.79,
20-10-1985,82.99,82.73,80.51,
21-10-1985,129.90,97.13,135.02,
22-10-1985,75.67,67.05,83.89,
23-10-1985,102.60,131.51,97.50,
24-10-1985,71.09,85.04,47.29,
25-10-1985,85.30,99.21,82.75,
26-10-1985,106.57,70.83,118.16,
27-10-1985,68.73,41.11,91.44,
28-10-1985,41.41,49.54,27.55,
29-10-1985,47.32,94.35,39.35,
30-10-1985,35.24,14.05,46.89,
31-10-1985,109.45,87.29,109.21,
01-11-1985,100.15,61.44,115.30,
02-11-1985,120.82,120.45,117.21,
03-11-1985,93.69,66.71,100.16,
04-11-1985,155.56,91.23,182.62,
05-11-1985,107.39,82.35,109.91,
06-11-1985,63.30,70.11,46.79,
07-11-1985,92.02,42.34,117.71,
08-11-1985,70.03,83.78,58.23,
09-11-1985,84.46,93.55,62.43,
10-11-1985,77.19,64.12,74.88,
11-11-1985,59.76,85.11,28.40,
12-11-1985,88.57,123.62,73.65,
13-11-1985,79.91,28.97,108.73,
14-11-1985,97.02,82.90,92.20,
15-11-1985,86.79,43.26,120.28,
16-11-1985,45.13,53.99,45.03,
17-11-1985,86.26,45.87,105.21,
18-11-1985,132.86,35.32,191.49,
19-11-1985,97.19,96.89,94.29,
20-11-1985,103.25,120.09,71.55,
21-11-1985,73.32,66.45,66.51,
22-11-1985,138.02,76.44,191.28,
23-11-1985,89.53,59.50,99.26,
24-11-1985,80.79,46.03,95.98,
25-11-1985,151.79,231.43,89.09,
26-11-1985,54.95,31.30,65.27,
27-11-1985,89.73,119.27,49.74,
28-11-1985,132.50,140.90,132.22,
29-11-1985,93.21,85.78,119.24,
30-11-1985,132.91,122.31,136.02,
01-12-1985,78.58,72.31,80.42,
02-12-1985,77.04,68.27,71.18,
03-12-1985,15.52,15.47,12.90,
04-12-1985,90.76,90.48,88.04,
05-12-1985,62.50,55.39,57.75,
06-12-1985,84.94,56.45,105.94,
07-12-1985,99.38,110.08,73.45,
08-12-1985,96.59,56.64,113.39,
09-12-1985,98.39,130.79,54.54,
10-12-1985,92.72,84.03,98.12,
11-12-1985,84.76,42.25,105.72,
12-12-1985,76.68,91.73,76.51,
13-12-1985,42.93,57.06,23.80,
14-12-1985,76.03,64.96,90.31,
15-12-1985,72.41,72.18,70.24,
16-12-1985,67.60,101.09,28.11,
17-12-1985,73.61,65.23,68.01,
18-12-1985,74.61,133.88,24.82,
19-12-1985,90.28,110.77,69.30,
20-12-1985,126.06,125.67,116.47,
21-12-1985,90.76,113.09,56.60,
22-12-1985,40.32,66.99,11.17,
23-12-1985,87.87,105.12,102.29,
24-12-1985,96.02,95.72,79.84,
25-12-1985,156.09,172.90,173.06,
26-12-1985,165.17,146.37,152.60,
27-12-1985,109.86,117.94,84.32,
28-12-1985,307.86,515.61,163.84,
29-12-1985,62.50,96.92,46.20,
30-12-1985,263.38,403.96,185.32,
31-12-1985,220.17,339.22,116.50,
01-01-1986,269.63,460.80,192.17,
02-01-1986,150.57,229.58,73.65,
03-01-1986,166.88,266.19,124.89,
04-01-1986,126.08,251.39,114.37,
05-01-1986,115.63,189.87,113.12,
06-01-1986,147.69,210.34,105.27,
07-01-1986,174.35,173.81,217.46,
08-01-1986,131.84,230.02,150.74,
09-01-1986,146.14,226.63,148.53,
10-01-1986,204.48,326.16,231.24,
11-01-1986,120.26,108.99,181.82,
12-01-1986,115.47,143.89,132.02,
13-01-1986,147.64,220.77,122.76,
14-01-1986,120.14,119.78,128.45,
15-01-1986,129.27,128.87,134.37,
16-01-1986,195.32,124.62,298.84,
17-01-1986,155.28,132.68,184.45,
18-01-1986,204.35,278.77,196.75,
19-01-1986,73.61,117.42,48.97,
20-01-1986,163.36,162.86,150.93,
21-01-1986,54.45,36.19,60.37,
22-01-1986,116.23,66.21,151.88,
23-01-1986,94.20,109.56,65.27,
24-01-1986,87.17,110.61,79.08,
25-01-1986,227.03,205.76,257.43,
26-01-1986,70.48,63.88,63.93,
27-01-1986,140.11,179.59,133.15,
28-01-1986,142.86,89.01,207.89,
29-01-1986,145.36,152.53,152.67,
30-01-1986,54.95,62.60,39.16,
31-01-1986,96.77,133.58,74.28,
01-02-1986,55.58,44.33,73.95,
02-02-1986,78.36,99.43,71.08,
03-02-1986,86.94,86.68,72.30,
04-02-1986,71.43,124.62,14.85,
05-02-1986,134.40,173.39,92.04,
06-02-1986,109.90,62.60,143.60,
07-02-1986,40.20,16.03,53.49,
08-02-1986,86.04,64.33,89.43,
09-02-1986,47.42,40.52,45.06,
10-02-1986,84.22,74.63,93.37,
11-02-1986,88.81,106.24,73.85,
12-02-1986,116.52,116.16,124.58,
13-02-1986,83.19,90.48,75.47,
14-02-1986,38.70,46.29,25.74,
15-02-1986,127.41,207.84,38.52,
16-02-1986,97.02,138.17,69.15,
17-02-1986,110.42,171.23,61.21,
18-02-1986,101.22,201.81,15.30,
19-02-1986,78.87,139.78,43.72,
20-02-1986,124.85,99.57,152.26,
21-02-1986,131.88,170.15,116.11,
22-02-1986,148.64,148.18,176.57,
23-02-1986,106.64,106.31,110.85,
24-02-1986,158.16,175.19,131.51,
25-02-1986,133.50,149.73,97.14,
26-02-1986,107.85,122.88,102.49,
27-02-1986,99.73,71.02,118.47,
28-02-1986,119.37,193.38,49.63,
01-03-1986,75.29,85.78,53.66,
02-03-1986,98.59,104.84,98.38,
03-03-1986,125.18,134.40,112.10,
04-03-1986,25.42,50.68,0.00,
05-03-1986,74.72,49.66,96.65,
06-03-1986,94.87,126.10,65.74,
07-03-1986,74.11,73.88,73.95,
08-03-1986,69.74,92.70,38.66,
09-03-1986,68.02,94.93,56.56,
10-03-1986,75.93,94.62,63.14,
11-03-1986,81.68,90.48,90.56,
12-03-1986,78.87,94.35,65.58,
13-03-1986,73.98,81.94,54.68,
14-03-1986,85.34,108.27,51.61,
15-03-1986,109.69,87.48,109.45,
16-03-1986,39.59,52.63,32.92,
17-03-1986,104.71,37.96,142.47,
18-03-1986,57.78,115.20,0.00,
19-03-1986,62.80,62.60,52.22,
20-03-1986,38.88,62.02,12.93,
21-03-1986,97.21,134.18,49.74,
22-03-1986,117.88,141.03,98.03,
23-03-1986,96.11,102.20,106.56,
24-03-1986,120.14,136.89,114.18,
25-03-1986,155.40,228.31,95.22,
26-03-1986,220.31,376.52,143.94,
27-03-1986,175.15,212.57,177.30,
28-03-1986,131.63,189.54,121.61,
29-03-1986,182.01,145.16,201.80,
30-03-1986,142.93,150.87,139.82,
31-03-1986,100.08,39.91,133.15,
01-04-1986,70.29,17.52,102.29,
02-04-1986,111.56,51.33,142.72,
03-04-1986,142.93,184.40,139.82,
04-04-1986,66.85,74.04,49.41,
05-04-1986,98.52,171.87,20.48,
06-04-1986,94.26,107.39,78.38,
07-04-1986,127.08,152.03,112.72,
08-04-1986,172.53,223.60,129.12,
09-04-1986,122.69,86.34,156.03,
10-04-1986,130.36,122.31,165.78,
11-04-1986,190.82,243.49,190.40,
12-04-1986,156.68,178.51,167.50,
13-04-1986,92.21,84.86,106.17,
14-04-1986,154.07,249.60,128.12,
15-04-1986,289.13,395.30,274.76,
16-04-1986,340.54,555.54,321.79, U.S. Bombing of Libya
17-04-1986,166.01,150.45,188.23,
18-04-1986,222.89,367.78,191.73,
19-04-1986,143.07,175.54,128.12,
20-04-1986,151.56,201.45,144.03,
21-04-1986,117.41,150.49,97.63,
22-04-1986,132.17,197.65,96.17,
23-04-1986,164.45,202.98,143.26,
24-04-1986,154.79,169.75,141.59,
25-04-1986,101.26,187.47,60.14,
26-04-1986,146.97,135.25,169.22,
27-04-1986,125.98,132.98,160.22,
28-04-1986,152.74,171.30,158.76,
29-04-1986,171.96,162.41,195.68,
30-04-1986,114.72,142.96,83.47,
01-05-1986,95.48,117.16,73.29,
02-05-1986,80.44,116.64,60.81,
03-05-1986,117.54,85.22,159.94,
04-05-1986,97.24,77.55,107.81,
05-05-1986,155.43,135.58,177.71,
06-05-1986,136.25,118.85,155.78,
07-05-1986,94.20,62.60,130.55,
08-05-1986,94.02,115.37,84.20,
09-05-1986,66.25,58.71,73.45,
10-05-1986,114.62,137.12,152.50,
11-05-1986,47.91,40.94,56.91,
12-05-1986,97.43,135.98,97.22,
13-05-1986,113.62,174.27,87.21,
14-05-1986,138.02,107.02,165.78,
15-05-1986,111.48,95.26,158.91,
16-05-1986,101.48,57.81,144.66,
17-05-1986,81.36,69.52,115.98,
18-05-1986,77.36,98.16,70.18,
19-05-1986,93.58,149.26,62.25,
20-05-1986,244.68,262.69,250.41,
21-05-1986,160.80,96.19,227.31,
22-05-1986,159.19,166.25,151.28,
23-05-1986,81.70,103.66,49.41,
24-05-1986,176.83,117.52,215.66,
25-05-1986,195.74,195.14,187.81,
26-05-1986,196.30,220.16,142.83,
27-05-1986,169.39,131.34,203.46,
28-05-1986,144.02,135.14,154.98,
29-05-1986,96.72,64.28,107.23,
30-05-1986,72.96,87.29,72.81,
31-05-1986,98.07,65.18,126.85,
01-06-1986,104.54,104.22,97.79,
02-06-1986,94.11,93.82,78.25,
03-06-1986,67.78,0.00,112.72,
04-06-1986,118.59,63.05,144.63,
05-06-1986,73.78,44.13,110.43,
06-06-1986,100.38,107.77,89.89,
07-06-1986,166.18,220.89,128.97,
08-06-1986,56.90,37.81,84.11,
09-06-1986,62.67,71.40,59.56,
10-06-1986,101.66,135.14,70.45,
11-06-1986,98.39,114.44,68.18,
12-06-1986,134.29,14.88,223.34,
13-06-1986,164.88,74.71,224.35,
14-06-1986,92.02,91.73,95.64,
15-06-1986,77.69,70.41,82.22,
16-06-1986,79.50,35.23,117.53,
17-06-1986,68.83,17.16,100.16,
18-06-1986,72.01,63.81,66.53,
19-06-1986,50.30,28.65,71.70,
20-06-1986,142.17,155.91,141.86,
21-06-1986,135.21,112.33,168.64,
22-06-1986,38.34,61.16,12.75,
23-06-1986,86.17,57.27,111.45,
24-06-1986,80.58,89.25,74.45,
25-06-1986,119.91,164.37,87.25,
26-06-1986,114.23,106.28,126.64,
27-06-1986,123.71,82.22,148.58,
28-06-1986,88.04,65.83,91.51,
29-06-1986,81.79,122.31,56.68,
30-06-1986,93.31,0.00,155.18,
01-07-1986,89.53,53.55,119.11,
02-07-1986,66.42,49.66,69.04,
03-07-1986,84.15,45.76,101.78,
04-07-1986,75.04,85.50,53.49,
05-07-1986,71.49,71.27,59.45,
06-07-1986,80.99,64.59,80.82,
07-07-1986,108.77,138.01,65.78,
08-07-1986,101.78,55.35,123.11,
09-07-1986,151.79,231.43,74.25,
10-07-1986,117.19,93.46,142.92,
11-07-1986,67.09,50.16,97.63,
12-07-1986,81.08,115.47,57.79,
13-07-1986,100.38,107.77,89.89,
14-07-1986,130.89,120.45,150.70,
15-07-1986,133.21,159.36,118.16,
16-07-1986,82.61,49.41,96.17,
17-07-1986,141.49,33.19,207.63,
18-07-1986,77.94,31.08,103.70,
19-07-1986,137.55,159.98,114.37,
20-07-1986,102.05,125.21,91.38,
21-07-1986,95.74,76.36,111.45,
22-07-1986,71.24,35.51,88.85,
23-07-1986,105.29,96.89,121.23,
24-07-1986,97.19,113.04,107.76,
25-07-1986,38.70,30.86,38.61,
26-07-1986,88.34,88.06,73.45,
27-07-1986,43.78,72.74,36.40,
28-07-1986,96.58,134.79,64.24,
29-07-1986,109.51,54.58,151.76,
30-07-1986,95.79,47.75,132.75,
31-07-1986,104.33,52.01,130.13,
01-08-1986,77.40,30.86,102.97,
02-08-1986,105.35,70.01,116.80,
03-08-1986,96.99,148.76,49.63,
04-08-1986,146.57,116.90,146.26,
05-08-1986,66.63,94.90,31.66,
06-08-1986,124.53,66.21,165.68,
07-08-1986,80.21,47.98,93.37,
08-08-1986,48.01,31.91,66.53,
09-08-1986,178.74,142.55,217.98,
10-08-1986,115.72,129.79,108.26,
11-08-1986,158.69,197.75,115.46,
12-08-1986,190.28,206.94,215.76,
13-08-1986,202.81,252.73,154.59,
14-08-1986,144.37,79.96,186.75,
15-08-1986,88.34,58.71,134.66,
16-08-1986,46.33,23.09,57.79,
17-08-1986,57.74,57.56,48.01,
18-08-1986,142.86,124.62,148.49,
19-08-1986,99.02,107.69,74.85,
20-08-1986,73.43,81.34,54.28,
21-08-1986,58.63,58.45,48.75,
22-08-1986,65.76,65.56,68.35,
23-08-1986,119.59,119.22,119.33,
24-08-1986,61.47,95.33,34.08,
25-08-1986,121.72,104.01,144.59,
26-08-1986,153.86,180.46,135.47,
27-08-1986,87.38,79.19,118.90,
28-08-1986,80.21,111.94,66.70,
29-08-1986,88.02,95.72,79.84,
30-08-1986,111.66,98.95,123.80,
31-08-1986,64.81,43.07,83.83,
01-09-1986,89.18,177.82,42.38,
02-09-1986,88.20,39.08,130.39,
03-09-1986,59.76,68.09,56.79,
04-09-1986,72.54,64.28,67.02,
05-09-1986,84.54,76.62,76.69,
06-09-1986,256.69,438.69,81.31,
07-09-1986,127.65,178.16,106.15,
08-09-1986,133.57,177.55,88.85,
09-09-1986,151.34,201.16,111.86,
10-09-1986,88.23,111.94,53.36,
11-09-1986,138.02,168.18,114.77,
12-09-1986,67.45,89.66,37.39,
13-09-1986,93.64,23.34,136.27,
14-09-1986,106.45,99.88,104.14,
15-09-1986,70.86,105.96,29.46,
16-09-1986,102.29,141.19,78.51,
17-09-1986,115.72,129.79,120.28,
18-09-1986,99.95,85.41,106.86,
19-09-1986,129.06,142.96,107.32,
20-09-1986,124.79,113.09,113.20,
21-09-1986,108.09,152.12,63.44,
22-09-1986,188.75,188.17,188.34,
23-09-1986,167.22,111.14,185.40,
24-09-1986,163.03,132.98,184.87,
25-09-1986,85.12,84.86,94.37,
26-09-1986,184.85,235.88,172.16,
27-09-1986,141.46,70.51,196.05,
28-09-1986,77.34,77.10,85.74,
29-09-1986,105.72,105.39,102.56,
30-09-1986,121.19,48.33,161.24,
01-10-1986,109.64,46.84,143.26,
02-10-1986,102.15,87.29,133.48,
03-10-1986,109.93,102.29,109.69,
04-10-1986,131.19,108.99,145.45,
05-10-1986,114.85,84.37,150.79,
06-10-1986,125.68,53.70,179.15,
07-10-1986,132.83,82.77,193.30,
08-10-1986,39.34,62.75,26.17,
09-10-1986,72.44,65.65,76.67,
10-10-1986,83.38,60.46,126.06,
11-10-1986,71.35,40.64,84.75,
12-10-1986,79.66,79.42,77.28,
13-10-1986,125.34,160.66,74.45,
14-10-1986,149.37,70.08,189.97,
15-10-1986,68.38,45.45,88.45,
16-10-1986,96.02,41.02,125.46,
17-10-1986,104.69,134.18,99.49,
18-10-1986,62.11,61.92,51.65,
19-10-1986,104.39,41.63,150.46,
20-10-1986,79.93,53.12,103.39,
21-10-1986,40.69,16.23,54.14,
22-10-1986,73.94,29.49,110.67,
23-10-1986,91.82,98.58,82.22,
24-10-1986,66.70,44.33,73.95,
25-10-1986,77.29,66.05,73.45,
26-10-1986,99.49,93.35,97.33,
27-10-1986,117.66,90.23,120.42,
28-10-1986,140.78,66.05,192.82,
29-10-1986,120.60,112.22,120.34,
30-10-1986,62.76,97.33,34.79,
31-10-1986,137.72,173.43,84.38,
01-11-1986,77.29,22.02,110.18,
02-11-1986,53.00,39.63,55.09,
03-11-1986,81.68,72.38,75.47,
04-11-1986,81.99,65.39,95.45,
05-11-1986,197.09,136.02,226.92,
06-11-1986,134.77,84.86,165.15,
07-11-1986,126.55,103.89,160.94,
08-11-1986,75.53,86.06,53.83,
09-11-1986,109.41,72.71,131.41,
10-11-1986,156.50,104.01,231.35,
11-11-1986,160.41,63.97,226.76,
12-11-1986,146.50,129.82,162.43,
13-11-1986,117.00,102.06,158.10,
14-11-1986,57.24,57.06,71.39,
15-11-1986,152.05,173.24,162.56,
16-11-1986,81.56,62.54,83.47,
17-11-1986,141.14,148.98,124.26,
18-11-1986,166.88,166.37,152.64,
19-11-1986,102.53,125.80,91.82,
20-11-1986,96.02,95.72,114.06,
21-11-1986,109.73,82.05,114.06,
22-11-1986,139.82,85.78,178.86,
23-11-1986,59.04,65.39,43.64,
24-11-1986,111.85,102.93,114.47,
25-11-1986,108.47,33.27,152.64,
26-11-1986,118.31,103.20,110.67,
27-11-1986,82.36,36.49,121.75,
